time,src_user,dst_user,src_computer,dst_computer,auth_type,logon_type,auth_orient,success
2219110,U0@dom,U0@dom,C83,C98,Negotiate,Interactive,LogOn,Success
2229084,U1@dom,U1@dom,C88,C34,Negotiate,Network,LogOn,Failure
2356330,U2@dom,U2@dom,C85,C0,Kerberos,Network,LogOn,Success
1692743,U3@dom,U3@dom,C12,C39,Kerberos,Interactive,LogOn,Success
110268,U4@dom,U4@dom,C58,C63,NTLM,Interactive,LogOn,Success
732180,U5@dom,U5@dom,C18,C21,Kerberos,Service,LogOn,Success
2234489,U6@dom,U6@dom,C48,C59,Kerberos,Network,LogOn,Success
1570006,U7@dom,U7@dom,C99,C63,NTLM,Batch,LogOn,Success
2003274,U8@dom,U8@dom,C11,C92,Kerberos,Interactive,LogOn,Success
1136074,U9@dom,U9@dom,C60,C71,Kerberos,Service,LogOn,Success
2272355,U10@dom,U10@dom,C18,C10,NTLM,Batch,LogOn,Failure
1239911,U11@dom,U11@dom,C75,C13,NTLM,Network,LogOn,Success
278167,U12@dom,U12@dom,C8,C59,NTLM,Service,LogOn,Success
2138242,U13@dom,U13@dom,C70,C29,Negotiate,Interactive,LogOn,Success
329365,U14@dom,U14@dom,C27,C34,Negotiate,Batch,LogOn,Failure
787201,U15@dom,U15@dom,C77,C84,NTLM,Interactive,LogOn,Success
1370455,U16@dom,U16@dom,C94,C36,NTLM,Network,LogOn,Success
1766891,U17@dom,U17@dom,C51,C4,NTLM,Batch,LogOn,Success
327069,U18@dom,U18@dom,C82,C82,Negotiate,Network,LogOn,Success
1825573,U19@dom,U19@dom,C15,C77,Negotiate,Network,LogOn,Success
791743,U20@dom,U20@dom,C68,C25,Kerberos,Service,LogOn,Success
103355,U21@dom,U21@dom,C98,C61,Kerberos,Interactive,LogOn,Success
1262752,U22@dom,U22@dom,C11,C3,NTLM,Batch,LogOn,Success
2281931,U23@dom,U23@dom,C24,C88,Negotiate,Network,LogOn,Success
1396025,U24@dom,U24@dom,C51,C41,Negotiate,Network,LogOn,Success
1470485,U25@dom,U25@dom,C84,C88,Negotiate,Batch,LogOn,Success
989436,U26@dom,U26@dom,C99,C17,NTLM,Network,LogOn,Success
1307371,U27@dom,U27@dom,C52,C39,Kerberos,Service,LogOn,Success
2583384,U28@dom,U28@dom,C22,C71,NTLM,Service,LogOn,Success
917040,U29@dom,U29@dom,C15,C38,Kerberos,Service,LogOn,Success
1548762,U30@dom,U30@dom,C56,C13,Kerberos,Service,LogOn,Success
2253882,U31@dom,U31@dom,C38,C31,NTLM,Network,LogOn,Success
1919486,U32@dom,U32@dom,C52,C50,Kerberos,Batch,LogOn,Success
654811,U33@dom,U33@dom,C41,C37,Kerberos,Batch,LogOn,Success
527035,U34@dom,U34@dom,C57,C96,Negotiate,Batch,LogOn,Success
648143,U35@dom,U35@dom,C38,C22,Kerberos,Batch,LogOn,Success
1500942,U36@dom,U36@dom,C13,C62,NTLM,Interactive,LogOn,Success
65725,U37@dom,U37@dom,C94,C14,NTLM,Batch,LogOn,Success
84654,U38@dom,U38@dom,C4,C96,Kerberos,Interactive,LogOn,Success
953277,U39@dom,U39@dom,C34,C24,Negotiate,Interactive,LogOn,Success
1954354,U40@dom,U40@dom,C86,C16,Negotiate,Service,LogOn,Success
2416182,U41@dom,U41@dom,C92,C96,Kerberos,Interactive,LogOn,Success
2370690,U42@dom,U42@dom,C74,C65,Kerberos,Network,LogOn,Success
2428388,U43@dom,U43@dom,C17,C77,NTLM,Interactive,LogOn,Success
528178,U44@dom,U44@dom,C75,C52,Kerberos,Service,LogOn,Success
2586644,U45@dom,U45@dom,C8,C50,Negotiate,Interactive,LogOn,Success
1305416,U46@dom,U46@dom,C73,C38,Kerberos,Network,LogOn,Success
2570406,U47@dom,U47@dom,C57,C50,NTLM,Network,LogOn,Success
2446609,U48@dom,U48@dom,C16,C69,NTLM,Network,LogOn,Success
1465689,U49@dom,U49@dom,C6,C5,NTLM,Service,LogOn,Success
68148,U0@dom,U0@dom,C45,C66,NTLM,Service,LogOn,Success
1825665,U1@dom,U1@dom,C12,C6,NTLM,Batch,LogOn,Success
256508,U2@dom,U2@dom,C39,C50,Kerberos,Service,LogOn,Success
803591,U3@dom,U3@dom,C41,C71,Kerberos,Network,LogOn,Success
896942,U4@dom,U4@dom,C8,C41,Kerberos,Network,LogOn,Success
2203682,U5@dom,U5@dom,C49,C63,Kerberos,Service,LogOn,Success
604365,U6@dom,U6@dom,C26,C14,NTLM,Interactive,LogOn,Success
1870928,U7@dom,U7@dom,C65,C28,Negotiate,Service,LogOn,Success
2557489,U8@dom,U8@dom,C4,C32,Kerberos,Service,LogOn,Failure
1773415,U9@dom,U9@dom,C28,C93,Negotiate,Network,LogOn,Success
2055555,U10@dom,U10@dom,C36,C26,Kerberos,Batch,LogOn,Success
805889,U11@dom,U11@dom,C37,C35,Kerberos,Network,LogOn,Success
1508349,U12@dom,U12@dom,C82,C28,Negotiate,Batch,LogOn,Success
2305413,U13@dom,U13@dom,C7,C37,NTLM,Network,LogOn,Success
1363715,U14@dom,U14@dom,C64,C56,Kerberos,Service,LogOn,Success
1220405,U15@dom,U15@dom,C85,C96,Kerberos,Network,LogOn,Success
271836,U16@dom,U16@dom,C16,C26,Kerberos,Network,LogOn,Success
2095505,U17@dom,U17@dom,C70,C54,Negotiate,Network,LogOn,Success
2299435,U18@dom,U18@dom,C88,C32,NTLM,Service,LogOn,Success
196769,U19@dom,U19@dom,C44,C67,Negotiate,Service,LogOn,Failure
1271741,U20@dom,U20@dom,C3,C85,Negotiate,Service,LogOn,Success
1046797,U21@dom,U21@dom,C35,C65,NTLM,Service,LogOn,Success
1584398,U22@dom,U22@dom,C69,C9,Negotiate,Batch,LogOn,Success
2585031,U23@dom,U23@dom,C30,C4,NTLM,Batch,LogOn,Success
564685,U24@dom,U24@dom,C18,C73,Kerberos,Interactive,LogOn,Success
1402107,U25@dom,U25@dom,C60,C96,NTLM,Service,LogOn,Success
1311736,U26@dom,U26@dom,C53,C37,Kerberos,Batch,LogOn,Success
1007293,U27@dom,U27@dom,C38,C12,Negotiate,Network,LogOn,Success
579879,U28@dom,U28@dom,C90,C30,Negotiate,Service,LogOn,Success
23247,U29@dom,U29@dom,C73,C46,Kerberos,Interactive,LogOn,Success
1072876,U30@dom,U30@dom,C89,C99,Negotiate,Interactive,LogOn,Success
1322905,U31@dom,U31@dom,C18,C87,NTLM,Interactive,LogOn,Success
1767640,U32@dom,U32@dom,C38,C51,Kerberos,Network,LogOn,Success
2529467,U33@dom,U33@dom,C66,C55,Negotiate,Batch,LogOn,Success
1285160,U34@dom,U34@dom,C44,C14,Kerberos,Network,LogOn,Success
1610908,U35@dom,U35@dom,C12,C28,NTLM,Service,LogOn,Success
1886222,U36@dom,U36@dom,C91,C7,NTLM,Interactive,LogOn,Success
978732,U37@dom,U37@dom,C57,C4,Negotiate,Network,LogOn,Success
1425472,U38@dom,U38@dom,C19,C28,NTLM,Network,LogOn,Success
48984,U39@dom,U39@dom,C91,C46,Kerberos,Batch,LogOn,Success
2400070,U40@dom,U40@dom,C71,C67,NTLM,Batch,LogOn,Success
2361864,U41@dom,U41@dom,C60,C75,Kerberos,Interactive,LogOn,Success
1504384,U42@dom,U42@dom,C38,C44,Kerberos,Network,LogOn,Success
2033643,U43@dom,U43@dom,C0,C1,NTLM,Network,LogOn,Success
2230919,U44@dom,U44@dom,C2,C26,Negotiate,Batch,LogOn,Success
1752126,U45@dom,U45@dom,C76,C94,NTLM,Network,LogOn,Success
136330,U46@dom,U46@dom,C91,C35,Kerberos,Network,LogOn,Success
2577906,U47@dom,U47@dom,C61,C35,Kerberos,Network,LogOn,Success
1737095,U48@dom,U48@dom,C62,C25,NTLM,Batch,LogOn,Success
2111138,U49@dom,U49@dom,C24,C42,Negotiate,Interactive,LogOn,Success
586146,U0@dom,U0@dom,C55,C26,Negotiate,Service,LogOn,Success
2109818,U1@dom,U1@dom,C32,C68,Kerberos,Interactive,LogOn,Success
2231785,U2@dom,U2@dom,C37,C19,Kerberos,Service,LogOn,Success
288998,U3@dom,U3@dom,C5,C10,Negotiate,Network,LogOn,Success
1843400,U4@dom,U4@dom,C57,C73,NTLM,Interactive,LogOn,Success
1079111,U5@dom,U5@dom,C43,C37,Kerberos,Service,LogOn,Success
996107,U6@dom,U6@dom,C44,C5,Kerberos,Batch,LogOn,Success
351279,U7@dom,U7@dom,C31,C71,Negotiate,Batch,LogOn,Success
1870230,U8@dom,U8@dom,C44,C22,NTLM,Interactive,LogOn,Success
489570,U9@dom,U9@dom,C60,C46,Negotiate,Interactive,LogOn,Success
2050731,U10@dom,U10@dom,C46,C89,NTLM,Network,LogOn,Success
1321685,U11@dom,U11@dom,C20,C45,NTLM,Interactive,LogOn,Success
2121690,U12@dom,U12@dom,C79,C11,NTLM,Network,LogOn,Success
2298816,U13@dom,U13@dom,C84,C89,Kerberos,Network,LogOn,Success
491234,U14@dom,U14@dom,C74,C12,Negotiate,Batch,LogOn,Success
1948260,U15@dom,U15@dom,C35,C61,Negotiate,Batch,LogOn,Success
139182,U16@dom,U16@dom,C98,C81,NTLM,Service,LogOn,Success
1521101,U17@dom,U17@dom,C18,C88,Kerberos,Batch,LogOn,Success
1206914,U18@dom,U18@dom,C19,C96,Kerberos,Batch,LogOn,Success
184064,U19@dom,U19@dom,C56,C59,Negotiate,Interactive,LogOn,Success
214020,U20@dom,U20@dom,C17,C42,Kerberos,Batch,LogOn,Failure
1972990,U21@dom,U21@dom,C46,C75,Kerberos,Service,LogOn,Success
897421,U22@dom,U22@dom,C48,C99,NTLM,Interactive,LogOn,Success
1694490,U23@dom,U23@dom,C13,C67,Kerberos,Service,LogOn,Success
1167752,U24@dom,U24@dom,C14,C4,NTLM,Batch,LogOn,Success
2316121,U25@dom,U25@dom,C30,C36,Negotiate,Service,LogOn,Success
