time,src_user,dst_user,src_computer,dst_computer,auth_type,logon_type,auth_orient,success
1,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C1250,C586,NTLM,Network,LogOn,Success
2,C649$@DOM1,SYSTEM@C649,C649,C649,Negotiate,Service,LogOn,Success
3,C365$@DOM1,SYSTEM@C365,C365,C365,Negotiate,Service,LogOn,Success
4,C258$@DOM1,SYSTEM@C258,C258,C258,Negotiate,Service,LogOn,Success
7,U66@DOM1,U66@DOM1,C1673,C1673,Kerberos,Network,LogOn,Success
15,C632$@DOM1,C632$@DOM1,C632,C1065,Kerberos,Network,LogOn,Success
25,U1284@DOM1,U1284@DOM1,C867,C528,Kerberos,Network,LogOn,Success
32,U8@DOM1,U8@DOM1,C1644,C1644,?,?,TGT,Success
41,C1167$@DOM1,C1167$@DOM1,C1167,C625,Kerberos,Network,LogOn,Success
47,U70@DOM1,U70@DOM1,C1788,C1691,Kerberos,Network,LogOn,Success
55,U7@DOM1,U7@DOM1,C61,C61,Kerberos,Network,LogOn,Success
62,C1509$@DOM1,C1509$@DOM1,C612,C612,?,Network,LogOff,Success
69,U22@DOM1,U22@DOM1,C1065,C1065,?,Network,LogOff,Success
75,C2635$@DOM1,C2635$@DOM1,C612,C612,?,Network,LogOff,Success
80,U10464@DOM1,U10464@DOM1,C1968,C1968,?,?,TGT,Success
88,C1617$@DOM1,C1617$@DOM1,C1618,C523,Kerberos,Network,LogOn,Success
95,U4@DOM1,U4@DOM1,C229,C229,?,Network,LogOff,Success
103,C395$@DOM1,C395$@DOM1,C395,C231,Kerberos,Network,LogOn,Success
112,C281$@DOM1,C281$@DOM1,C612,C612,?,Network,LogOff,Success
119,C2941$@DOM1,C2941$@DOM1,C2941,C467,Kerberos,Network,LogOn,Success
126,C553$@DOM1,C553$@DOM1,C553,C523,Kerberos,Network,LogOn,Success
132,C1996$@DOM1,C1996$@DOM1,C625,C625,?,Network,LogOff,Success
138,U199@DOM1,U199@DOM1,C5096,C5096,?,?,TGT,Success
145,C2710$@DOM1,C2710$@DOM1,C1065,C1065,?,Network,LogOff,Success
151,C2960$@DOM1,C2960$@DOM1,C2961,TGT,?,?,TGS,Success
156,C4449$@DOM1,C4449$@DOM1,C457,C457,?,Network,LogOff,Success
160,U87@DOM1,U87@DOM1,C1772,C1772,Kerberos,Network,LogOn,Success
165,U731@DOM1,U731@DOM1,C1194,C586,Kerberos,Network,LogOn,Success
171,C348$@DOM1,C348$@DOM1,C612,C612,?,Network,LogOff,Success
177,C870$@DOM1,C870$@DOM1,C870,C457,Kerberos,Network,LogOn,Success
184,C186$@DOM1,C186$@DOM1,C528,C528,?,Network,LogOff,Success
191,C2279$@DOM1,C2279$@DOM1,C2280,C457,?,?,TGS,Success
197,U71@DOM1,U71@DOM1,C1691,C1691,?,Network,LogOff,Success
204,C2602$@DOM1,C2602$@DOM1,C625,C625,?,Network,LogOff,Success
211,U97@DOM1,U97@DOM1,C457,C457,?,Network,LogOff,Success
218,C586$@DOM1,C586$@DOM1,C586,C586,Kerberos,Network,LogOn,Success
225,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C3532,C586,NTLM,Network,LogOn,Success
229,C3647$@DOM1,C3647$@DOM1,C3647,C625,?,?,TGS,Success
235,C3584$@DOM1,C3584$@DOM1,C457,C457,?,Network,LogOff,Success
240,C599$@DOM1,C599$@DOM1,C1619,C101,Kerberos,Network,LogOn,Success
245,C1688$@DOM1,C1688$@DOM1,C1689,C612,?,?,TGS,Success
250,C3776$@DOM1,C3776$@DOM1,C3777,C586,Kerberos,Network,LogOn,Success
255,C2841$@DOM1,C2841$@DOM1,C528,C528,?,Network,LogOff,Success
261,C2321$@DOM1,C2321$@DOM1,C586,C586,?,Network,LogOff,Success
266,U8@DOM1,U8@DOM1,C419,C419,?,Network,LogOff,Success
272,C1982$@DOM1,C1982$@DOM1,C1983,C1983,?,?,TGT,Success
277,C2413$@DOM1,C2413$@DOM1,C457,C457,?,Network,LogOff,Success
282,C191$@DOM1,C191$@DOM1,C586,C586,?,Network,LogOff,Success
287,U10@DOM1,U10@DOM1,C229,C229,Kerberos,Network,LogOn,Success
294,U1246@DOM1,U1246@DOM1,C457,C457,?,Network,LogOff,Success
302,C3860$@DOM1,C3860$@DOM1,C3860,C586,Kerberos,Network,LogOn,Success
307,C957$@DOM1,C957$@DOM1,C1065,C1065,?,Network,LogOff,Success
312,C3993$@DOM1,C3993$@DOM1,C3993,C2106,Kerberos,Network,LogOn,Success
319,C3568$@DOM1,C3568$@DOM1,C3568,C586,Kerberos,Network,LogOn,Success
325,U195@DOM1,U195@DOM1,C1310,C612,Kerberos,Network,LogOn,Success
331,U1246@DOM1,U1246@DOM1,C457,C457,?,Network,LogOff,Success
337,U249@DOM1,U249@DOM1,C457,C457,?,Network,LogOff,Success
344,C3517$@DOM1,C3517$@DOM1,C3517,C467,NTLM,Network,LogOn,Success
349,C585$@DOM1,C585$@DOM1,C586,C586,?,Network,LogOff,Success
